dbId,domainId,eqId,freewayId,latitude,locationId,longitude,mainDirection,url
2030623,P,CCTV-N5-N-23.296-M,10050,24.883398,0,121.766576,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402413
2030624,P,CCTV-N5-N-23.384-M,10050,24.882674,0,121.767075,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402414
2030625,P,CCTV-N5-N-23.473-M,10050,24.882033,0,121.767575,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402801
2030626,P,CCTV-N5-N-23.560-M,10050,24.88149,0,121.767993,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402802
2030627,P,CCTV-N5-N-23.568-C,10050,24.881416,0,121.767962,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500403213
2030628,P,CCTV-N5-N-23.647-M,10050,24.880918,0,121.768418,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402803
2030629,P,CCTV-N5-N-23.732-M,10050,24.880213,0,121.768979,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402804
2030630,P,CCTV-N5-N-23.822-M,10050,24.879595,0,121.769535,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402805
2030631,P,CCTV-N5-N-23.911-C,10050,24.878908,0,121.770065,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500403214
2030632,P,CCTV-N5-N-23.915-P,10050,24.878751,0,121.769866,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500403215
2030633,P,CCTV-N5-N-23.921-M,10050,24.87887,0,121.770182,2,https://cctvp02.freeway.gov.tw/mjpeg/X01001510212001
2030634,P,CCTV-N5-N-23.930-PS,10050,24.878989,0,121.770141,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402806
2030635,P,CCTV-N5-N-23.996-M,10050,24.878392,0,121.770618,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402807
2030636,P,CCTV-N5-N-24.080-M,10050,24.877838,0,121.771125,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402808
2030637,P,CCTV-N5-N-24.169-M,10050,24.877343,0,121.771645,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402809
2030638,P,CCTV-N5-N-24.256-M,10050,24.876723,0,121.772281,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402810
2030639,P,CCTV-N5-N-24.264-C,10050,24.876651,0,121.772277,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500403216
2030640,P,CCTV-N5-N-24.345-M,10050,24.876118,0,121.772919,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402811
2030641,P,CCTV-N5-N-24.432-M,10050,24.87548,0,121.773586,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402812
2030642,P,CCTV-N5-N-24.551-M,10050,24.874772,0,121.774305,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402813
2030643,P,CCTV-N5-N-24.652-PS,10050,24.874121,0,121.775148,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402814
2030644,P,CCTV-N5-N-24.665-P,10050,24.873854,0,121.774936,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500403313
2030645,P,CCTV-N5-N-24.669-M,10050,24.873925,0,121.775194,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402815
2030646,P,CCTV-N5-N-24.677-C,10050,24.873803,0,121.775191,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500403312
2030647,P,CCTV-N5-N-24.725-M,10050,24.873564,0,121.775589,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402816
2030648,P,CCTV-N5-N-24.780-M,10050,24.873204,0,121.775968,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402901
2030649,P,CCTV-N5-N-24.869-M,10050,24.872584,0,121.77659,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402902
2030650,P,CCTV-N5-N-24.952-C,10050,24.87208,0,121.777007,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500403314
